epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7663,1.60171,1.91849,1.42152,0.60113,0.42539,0.46586,0.23127,1.83316,2.03597,1.70633,0.00033165,0.00033165,0.0671667
2,104.243,1.57307,1.59255,1.40133,0.62085,0.50933,0.5577,0.2923,1.6159,1.60814,1.47128,0.000643039,0.000643039,0.0341447
3,149.142,1.54616,1.4965,1.3858,0.54662,0.4792,0.4947,0.2582,1.67678,1.78995,1.5355,0.000932428,0.000932428,0.00110078
4,186.078,1.52303,1.43851,1.37542,0.62748,0.57395,0.61082,0.3506,1.42386,1.47185,1.32603,0.000901,0.000901,0.000901
5,225.819,1.49132,1.3713,1.33045,0.71189,0.59024,0.6677,0.38852,1.43721,1.42629,1.33255,0.000868,0.000868,0.000868
6,273.755,1.46854,1.32961,1.30958,0.71874,0.59326,0.67565,0.38653,1.45659,1.31748,1.35089,0.000835,0.000835,0.000835
7,321.423,1.42847,1.29769,1.2977,0.71135,0.57102,0.66468,0.3974,1.37373,1.27693,1.29387,0.000802,0.000802,0.000802
8,368.335,1.40107,1.25701,1.29126,0.68966,0.62123,0.68897,0.41675,1.39228,1.26986,1.29143,0.000769,0.000769,0.000769
9,412.159,1.40097,1.23183,1.27919,0.67221,0.62267,0.68002,0.41826,1.34851,1.24904,1.28116,0.000736,0.000736,0.000736
10,458.953,1.3687,1.19966,1.27281,0.72154,0.63572,0.71289,0.43484,1.32379,1.26803,1.26356,0.000703,0.000703,0.000703
11,508.984,1.3641,1.14669,1.25132,0.72927,0.64491,0.71957,0.44193,1.30766,1.17719,1.23957,0.00067,0.00067,0.00067
12,548.916,1.33502,1.1498,1.25039,0.71454,0.63845,0.71636,0.43101,1.34844,1.18,1.25855,0.000637,0.000637,0.000637
13,593.884,1.34919,1.14616,1.23799,0.7479,0.6736,0.75312,0.46959,1.30466,1.08423,1.23382,0.000604,0.000604,0.000604
14,637.869,1.31103,1.10945,1.23372,0.76065,0.64275,0.72944,0.46016,1.27442,1.09615,1.2364,0.000571,0.000571,0.000571
15,680.807,1.31062,1.09096,1.23818,0.74381,0.65065,0.73782,0.4673,1.28914,1.07401,1.22524,0.000538,0.000538,0.000538
16,727.814,1.29914,1.05538,1.21618,0.73434,0.6693,0.7468,0.48101,1.25224,1.04674,1.20437,0.000505,0.000505,0.000505
17,774.881,1.27836,1.04393,1.21293,0.7593,0.64946,0.73784,0.47013,1.26533,1.06356,1.21335,0.000472,0.000472,0.000472
18,817.688,1.2755,1.04403,1.21369,0.74632,0.66689,0.75059,0.47308,1.27626,1.06548,1.21043,0.000439,0.000439,0.000439
19,864.078,1.25204,1.00351,1.19315,0.78516,0.65567,0.76181,0.48686,1.25046,0.99756,1.18975,0.000406,0.000406,0.000406
20,914.364,1.24176,0.99283,1.19141,0.75836,0.69154,0.76536,0.48316,1.24135,1.01173,1.19076,0.000373,0.000373,0.000373
21,971.061,1.25066,1.01106,1.21167,0.75711,0.66643,0.75393,0.47635,1.27523,1.05801,1.21496,0.00034,0.00034,0.00034
22,1013.75,1.1987,0.93438,1.17597,0.77983,0.6708,0.76823,0.49235,1.22654,0.96731,1.17913,0.000307,0.000307,0.000307
23,1050.59,1.19749,0.90556,1.16893,0.77931,0.67432,0.77516,0.50198,1.21854,0.94754,1.17833,0.000274,0.000274,0.000274
24,1091.14,1.16436,0.88712,1.1546,0.78268,0.67145,0.76864,0.50029,1.22126,0.96232,1.18886,0.000241,0.000241,0.000241
25,1124.06,1.14265,0.84907,1.1456,0.79936,0.67073,0.77413,0.50146,1.21525,0.94455,1.17692,0.000208,0.000208,0.000208
26,1154.41,1.12657,0.83605,1.12469,0.76868,0.6858,0.77242,0.50303,1.20498,0.93535,1.17081,0.000175,0.000175,0.000175
27,1182.74,1.13021,0.81645,1.1327,0.77561,0.69182,0.77178,0.50371,1.20703,0.93637,1.1737,0.000142,0.000142,0.000142
28,1211.46,1.109,0.7999,1.10914,0.75233,0.69799,0.77298,0.5121,1.18726,0.91674,1.16304,0.000109,0.000109,0.000109
29,1240.48,1.09303,0.79087,1.10913,0.77765,0.68436,0.7756,0.51075,1.18641,0.90573,1.16009,7.6e-05,7.6e-05,7.6e-05
30,1268.9,1.09561,0.776,1.10439,0.7661,0.69297,0.77752,0.51196,1.18796,0.90752,1.15973,4.3e-05,4.3e-05,4.3e-05
