epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0521,1.8713,2.14107,1.642,0.00596,0.21951,0.0024,0.00075,3.08737,37.6083,4.11608,0.00329966,0.00329966,0.070303
2,54.3123,1.91094,1.87407,1.66575,0.05773,0.1888,0.02835,0.01,2.48062,7.56635,2.34685,0.00641411,0.00641411,0.0400841
3,78.0203,1.84574,1.84406,1.6475,0.34134,0.29369,0.23612,0.0964,2.04695,5.13431,2.0585,0.00930855,0.00930855,0.00964525
4,102.68,1.79053,1.73006,1.58836,0.43508,0.35151,0.33844,0.1606,2.0102,2.75498,1.89234,0.00901,0.00901,0.00901
5,129.206,1.76358,1.6806,1.55132,0.48253,0.47418,0.45133,0.22076,1.74241,2.12801,1.63159,0.00868,0.00868,0.00868
6,153.645,1.71084,1.60932,1.52008,0.56403,0.50789,0.51728,0.26753,1.69584,1.6629,1.57934,0.00835,0.00835,0.00835
7,177.016,1.66734,1.55939,1.49618,0.5993,0.48067,0.51402,0.25579,1.69946,1.77236,1.59021,0.00802,0.00802,0.00802
8,199.952,1.63337,1.49712,1.46789,0.61675,0.46485,0.50649,0.25067,1.74227,1.78435,1.57833,0.00769,0.00769,0.00769
9,222.568,1.60907,1.46611,1.44325,0.60128,0.4878,0.517,0.26778,1.68342,1.68826,1.52423,0.00736,0.00736,0.00736
10,244.874,1.56601,1.42544,1.43488,0.64169,0.51793,0.56507,0.31939,1.59951,1.55376,1.53084,0.00703,0.00703,0.00703
11,270.418,1.57456,1.38826,1.42054,0.57037,0.53659,0.55272,0.31804,1.50001,1.54122,1.44853,0.0067,0.0067,0.0067
12,294.825,1.52177,1.36382,1.39851,0.67731,0.55882,0.60811,0.32775,1.55219,1.51044,1.48568,0.00637,0.00637,0.00637
13,321.392,1.52056,1.37987,1.40476,0.66891,0.56233,0.60727,0.33274,1.57444,1.50397,1.46064,0.00604,0.00604,0.00604
14,344.216,1.4839,1.33664,1.36528,0.64765,0.54878,0.60685,0.33708,1.50358,1.61069,1.42913,0.00571,0.00571,0.00571
15,366.914,1.50003,1.32752,1.37394,0.72636,0.59828,0.66924,0.3975,1.45278,1.27605,1.39802,0.00538,0.00538,0.00538
16,389.54,1.451,1.27389,1.3327,0.69722,0.56494,0.64376,0.38521,1.41391,1.29161,1.3503,0.00505,0.00505,0.00505
17,411.342,1.44487,1.24156,1.3432,0.68305,0.60115,0.6525,0.37816,1.41252,1.3806,1.35291,0.00472,0.00472,0.00472
18,433.485,1.4234,1.23857,1.34089,0.72975,0.57819,0.66468,0.38742,1.43322,1.27962,1.36016,0.00439,0.00439,0.00439
19,456.084,1.42279,1.20921,1.32334,0.67529,0.60689,0.66469,0.38637,1.42351,1.23647,1.36115,0.00406,0.00406,0.00406
20,480.094,1.40462,1.22464,1.33285,0.67481,0.62523,0.66756,0.39928,1.40735,1.29756,1.38379,0.00373,0.00373,0.00373
21,513,1.38947,1.23343,1.32859,0.72191,0.61191,0.68964,0.42004,1.38475,1.21743,1.33539,0.0034,0.0034,0.0034
22,532.574,1.35793,1.13732,1.31759,0.7466,0.5897,0.692,0.40801,1.4098,1.20528,1.3695,0.00307,0.00307,0.00307
23,552.24,1.3318,1.08253,1.29389,0.73297,0.62482,0.70637,0.43032,1.37318,1.14102,1.33403,0.00274,0.00274,0.00274
24,572.34,1.31512,1.07561,1.30056,0.69673,0.65925,0.71815,0.44981,1.3486,1.12841,1.32585,0.00241,0.00241,0.00241
25,593.379,1.30896,1.05632,1.27987,0.72594,0.63274,0.7127,0.44654,1.3268,1.11705,1.30564,0.00208,0.00208,0.00208
26,613.765,1.27332,1.01991,1.26365,0.74421,0.6011,0.709,0.44566,1.30326,1.12608,1.29626,0.00175,0.00175,0.00175
27,632.672,1.25554,1.00014,1.24784,0.78561,0.63989,0.74065,0.47089,1.28446,1.06441,1.27238,0.00142,0.00142,0.00142
28,650.796,1.22692,0.97107,1.2306,0.75572,0.65352,0.73901,0.46988,1.28008,1.0509,1.27656,0.00109,0.00109,0.00109
29,670.702,1.2166,0.9529,1.22815,0.76602,0.65054,0.74474,0.47366,1.25741,1.04988,1.25841,0.00076,0.00076,0.00076
30,688.975,1.21213,0.93043,1.2187,0.75731,0.66212,0.74727,0.48157,1.25736,1.02837,1.25619,0.00043,0.00043,0.00043
