epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1518,1.63246,2.95679,1.46971,0.01532,0.5495,0.26264,0.1517,1.37181,2.93049,1.25341,0.00326667,0.00326667,0.0706
2,54.202,1.48008,1.72561,1.31012,0.72154,0.3264,0.45458,0.25592,1.51977,2.30732,1.30493,0.0059466,0.0059466,0.0399466
3,73.9399,1.46983,1.57375,1.30634,0.62818,0.50287,0.54089,0.28162,1.54947,1.70733,1.43082,0.00796653,0.00796653,0.0086332
4,94.1209,1.51166,1.55162,1.33006,0.25283,0.24247,0.13216,0.06876,1.90863,2.68074,1.73351,0.00703,0.00703,0.00703
5,114.235,1.48469,1.44075,1.31784,0.58777,0.45516,0.49786,0.27351,1.59657,1.88885,1.42055,0.00604,0.00604,0.00604
6,135.417,1.44108,1.38392,1.28451,0.64873,0.56671,0.61681,0.34665,1.47934,1.47531,1.34142,0.00505,0.00505,0.00505
7,155.268,1.39168,1.26588,1.25431,0.67409,0.58015,0.63539,0.37349,1.40148,1.448,1.2686,0.00406,0.00406,0.00406
8,175.187,1.34555,1.20156,1.21743,0.70044,0.63415,0.70617,0.41897,1.37803,1.22291,1.22551,0.00307,0.00307,0.00307
9,195.523,1.29672,1.12375,1.18989,0.76148,0.60689,0.71593,0.43729,1.33101,1.20416,1.21737,0.00208,0.00208,0.00208
10,216.488,1.26052,1.07549,1.17294,0.73275,0.63925,0.73177,0.46454,1.2782,1.17411,1.17722,0.00109,0.00109,0.00109
