epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.158,2.41146,2.73379,2.29342,0.04501,0.27188,0.03242,0.00928,2.62894,47.7096,3.01665,0.006633,0.006633,0.073468
2,75.8584,2.36214,2.50635,2.31415,0.28746,0.19584,0.16061,0.06911,2.31155,5.08404,2.42545,0.011983,0.011983,0.0454847
3,108.088,2.20566,2.37196,2.20132,0.1973,0.16069,0.09636,0.03693,2.57382,3.22173,2.75469,0.016013,0.016013,0.0161813
4,141.379,2.11217,2.26171,2.11742,0.30723,0.28838,0.22016,0.09204,2.18979,2.56209,2.21417,0.01406,0.01406,0.01406
5,178.641,2.01636,2.09966,2.00785,0.41341,0.33357,0.31395,0.13782,2.07326,2.23895,2.09323,0.01208,0.01208,0.01208
6,213.974,1.9378,1.99669,1.91966,0.48106,0.38172,0.39221,0.19087,1.87454,1.93446,1.9032,0.0101,0.0101,0.0101
7,247.893,1.87596,1.89968,1.87193,0.47736,0.40674,0.40528,0.2004,1.85463,1.88059,1.86852,0.00812,0.00812,0.00812
8,282.754,1.82351,1.79609,1.82468,0.57142,0.43423,0.46772,0.22395,1.81112,1.79546,1.81495,0.00614,0.00614,0.00614
9,316.101,1.76701,1.75142,1.78768,0.55373,0.45122,0.47931,0.2378,1.7706,1.75576,1.78547,0.00416,0.00416,0.00416
10,347.132,1.70928,1.65362,1.74546,0.58915,0.47937,0.5181,0.27067,1.69617,1.67686,1.74421,0.00218,0.00218,0.00218
